date/time: ,12/06/2018,05:06 p.m.
Run 1

time	(MT)
0,000000	-8,172150E-2
0,000050	-8,380140E-2
0,000100	-9,004108E-2
0,000150	-7,340192E-2
0,000200	-7,964161E-2
0,000250	-8,588129E-2
0,000300	-9,004108E-2
0,000350	-9,212098E-2
0,000400	-9,420087E-2
0,000450	-9,004108E-2
0,000500	-9,212098E-2
0,000550	-1,004406E-1
0,000600	-9,420087E-2
0,000650	-1,046003E-1
0,000700	-9,628077E-2
0,000750	-1,066802E-1
0,000800	-9,628077E-2
0,000850	-1,066802E-1
0,000900	-1,025204E-1
0,000950	-1,108400E-1
0,001000	-1,129199E-1
0,001050	-1,191596E-1
0,001100	-1,212395E-1
0,001150	-1,233194E-1
0,001200	-1,233194E-1
0,001250	-1,295591E-1
0,001300	-1,316390E-1
0,001350	-1,378787E-1
0,001400	-1,420385E-1
0,001450	-1,357988E-1
0,001500	-1,461982E-1
0,001550	-1,441183E-1
0,001600	-1,565977E-1
0,001650	-1,482781E-1
0,001700	-1,565977E-1
0,001750	-1,565977E-1
0,001800	-1,607575E-1
0,001850	-1,565977E-1
0,001900	-1,690771E-1
0,001950	-1,690771E-1
0,002000	-1,711570E-1
0,002050	-1,732369E-1
0,002100	-1,732369E-1
0,002150	-1,794766E-1
0,002200	-1,753168E-1
0,002250	-1,877961E-1
0,002300	-1,732369E-1
0,002350	-1,898760E-1
0,002400	-1,857162E-1
0,002450	-1,940358E-1
0,002500	-1,919559E-1
0,002550	-2,002755E-1
0,002600	-1,961157E-1
0,002650	-2,023554E-1
0,002700	-2,085951E-1
0,002750	-2,085951E-1
0,002800	-2,106750E-1
0,002850	-2,148348E-1
0,002900	-2,127549E-1
0,002950	-2,148348E-1
0,003000	-2,252342E-1
0,003050	-2,189946E-1
0,003100	-2,356337E-1
0,003150	-2,252342E-1
0,003200	-2,397935E-1
0,003250	-2,273141E-1
0,003300	-2,397935E-1
0,003350	-2,273141E-1
0,003400	-2,460332E-1
0,003450	-2,481131E-1
0,003500	-2,439533E-1
0,003550	-2,522729E-1
0,003600	-2,543528E-1
0,003650	-2,522729E-1
0,003700	-2,564327E-1
0,003750	-2,605925E-1
0,003800	-2,564327E-1
0,003850	-2,647522E-1
0,003900	-2,668321E-1
0,003950	-2,730718E-1
0,004000	-2,647522E-1
0,004050	-2,772316E-1
0,004100	-2,626723E-1
0,004150	-2,813914E-1
0,004200	-2,813914E-1
0,004250	-2,834713E-1
0,004300	-2,834713E-1
0,004350	-2,897110E-1
0,004400	-2,876311E-1
0,004450	-2,876311E-1
0,004500	-2,855512E-1
0,004550	-2,897110E-1
0,004600	-2,980306E-1
0,004650	-2,917909E-1
0,004700	-3,042702E-1
0,004750	-2,897110E-1
0,004800	-3,125898E-1
0,004850	-3,063501E-1
0,004900	-3,125898E-1
0,004950	-3,084300E-1
0,005000	-3,209094E-1
0,005050	-3,188295E-1
0,005100	-3,167496E-1
0,005150	-3,209094E-1
0,005200	-3,209094E-1
0,005250	-3,209094E-1
0,005300	-3,292290E-1
0,005350	-3,354687E-1
0,005400	-3,354687E-1
0,005450	-3,313089E-1
0,005500	-3,313089E-1
0,005550	-3,354687E-1
0,005600	-3,271491E-1
0,005650	-3,458681E-1
0,005700	-3,354687E-1
0,005750	-3,396285E-1
0,005800	-3,333888E-1
0,005850	-3,562676E-1
0,005900	-3,333888E-1
0,005950	-3,500279E-1
0,006000	-3,354687E-1
0,006050	-3,396285E-1
0,006100	-3,417083E-1
0,006150	-3,521078E-1
0,006200	-3,645872E-1
0,006250	-3,500279E-1
0,006300	-3,437882E-1
0,006350	-3,458681E-1
0,006400	-3,458681E-1
0,006450	-3,458681E-1
0,006500	-3,729068E-1
0,006550	-3,583475E-1
0,006600	-3,583475E-1
0,006650	-3,500279E-1
0,006700	-3,770666E-1
0,006750	-3,521078E-1
0,006800	-3,479480E-1
0,006850	-3,625073E-1
0,006900	-3,625073E-1
0,006950	-3,479480E-1
0,007000	-3,500279E-1
0,007050	-3,604274E-1
0,007100	-3,729068E-1
0,007150	-3,749867E-1
0,007200	-3,500279E-1
0,007250	-3,625073E-1
0,007300	-3,500279E-1
0,007350	-3,562676E-1
0,007400	-3,666671E-1
0,007450	-3,479480E-1
0,007500	-3,562676E-1
0,007550	-3,666671E-1
0,007600	-3,645872E-1
0,007650	-3,645872E-1
0,007700	-3,708269E-1
0,007750	-3,708269E-1
0,007800	-3,791465E-1
0,007850	-3,604274E-1
0,007900	-3,521078E-1
0,007950	-3,562676E-1
0,008000	-3,625073E-1
0,008050	-3,645872E-1
0,008100	-3,583475E-1
0,008150	-3,604274E-1
0,008200	-3,604274E-1
0,008250	-3,562676E-1
0,008300	-3,645872E-1
0,008350	-3,541877E-1
0,008400	-3,666671E-1
0,008450	-3,604274E-1
0,008500	-3,625073E-1
0,008550	-3,604274E-1
0,008600	-3,687470E-1
0,008650	-3,666671E-1
0,008700	-3,625073E-1
0,008750	-3,687470E-1
0,008800	-3,604274E-1
0,008850	-3,687470E-1
0,008900	-3,437882E-1
0,008950	-3,729068E-1
0,009000	-3,521078E-1
0,009050	-3,729068E-1
0,009100	-3,625073E-1
0,009150	-3,729068E-1
0,009200	-3,562676E-1
0,009250	-3,500279E-1
0,009300	-3,708269E-1
0,009350	-3,437882E-1
0,009400	-3,458681E-1
0,009450	-3,437882E-1
0,009500	-3,396285E-1
0,009550	-3,437882E-1
0,009600	-3,417083E-1
0,009650	-3,396285E-1
0,009700	-3,437882E-1
0,009750	-3,271491E-1
0,009800	-3,375486E-1
0,009850	-3,292290E-1
0,009900	-3,375486E-1
0,009950	-3,271491E-1
0,010000	-3,229893E-1
0,010050	-3,229893E-1
0,010100	-3,271491E-1
0,010150	-3,146697E-1
0,010200	-3,229893E-1
0,010250	-3,167496E-1
0,010300	-3,167496E-1
0,010350	-3,188295E-1
0,010400	-3,125898E-1
0,010450	-3,125898E-1
0,010500	-3,042702E-1
0,010550	-3,105099E-1
0,010600	-2,959507E-1
0,010650	-3,063501E-1
0,010700	-2,980306E-1
0,010750	-3,042702E-1
0,010800	-2,897110E-1
0,010850	-2,917909E-1
0,010900	-2,855512E-1
0,010950	-2,876311E-1
0,011000	-2,855512E-1
0,011050	-2,813914E-1
0,011100	-2,772316E-1
0,011150	-2,813914E-1
0,011200	-2,751517E-1
0,011250	-2,689120E-1
0,011300	-2,689120E-1
0,011350	-2,605925E-1
0,011400	-2,689120E-1
0,011450	-2,564327E-1
0,011500	-2,647522E-1
0,011550	-2,522729E-1
0,011600	-2,564327E-1
0,011650	-2,439533E-1
0,011700	-2,564327E-1
0,011750	-2,501930E-1
0,011800	-2,439533E-1
0,011850	-2,397935E-1
0,011900	-2,397935E-1
0,011950	-2,397935E-1
0,012000	-2,314739E-1
0,012050	-2,314739E-1
0,012100	-2,231543E-1
0,012150	-2,273141E-1
0,012200	-2,169147E-1
0,012250	-2,210745E-1
0,012300	-2,127549E-1
0,012350	-2,189946E-1
0,012400	-2,002755E-1
0,012450	-2,106750E-1
0,012500	-1,961157E-1
0,012550	-2,023554E-1
0,012600	-1,940358E-1
0,012650	-1,981956E-1
0,012700	-1,961157E-1
0,012750	-1,919559E-1
0,012800	-1,877961E-1
0,012850	-1,815565E-1
0,012900	-1,836363E-1
0,012950	-1,794766E-1
0,013000	-1,898760E-1
0,013050	-1,732369E-1
0,013100	-1,794766E-1
0,013150	-1,690771E-1
0,013200	-1,836363E-1
0,013250	-1,669972E-1
0,013300	-1,711570E-1
0,013350	-1,607575E-1
0,013400	-1,649173E-1
0,013450	-1,586776E-1
0,013500	-1,545178E-1
0,013550	-1,565977E-1
0,013600	-1,545178E-1
0,013650	-1,461982E-1
0,013700	-1,461982E-1
0,013750	-1,482781E-1
0,013800	-1,378787E-1
0,013850	-1,378787E-1
0,013900	-1,378787E-1
0,013950	-1,378787E-1
0,014000	-1,357988E-1
0,014050	-1,337189E-1
0,014100	-1,212395E-1
0,014150	-1,233194E-1
0,014200	-1,212395E-1
0,014250	-1,274792E-1
0,014300	-1,212395E-1
0,014350	-1,191596E-1
0,014400	-1,170797E-1
0,014450	-1,108400E-1
0,014500	-1,087601E-1
0,014550	-1,025204E-1
0,014600	-1,046003E-1
0,014650	-9,836066E-2
0,014700	-1,066802E-1
0,014750	-8,588129E-2
0,014800	-1,004406E-1
0,014850	-9,420087E-2
0,014900	-9,004108E-2
0,014950	-1,025204E-1
0,015000	-8,588129E-2
0,015050	-7,756171E-2
0,015100	-7,964161E-2
0,015150	-8,172150E-2
0,015200	-7,964161E-2
0,015250	-7,340192E-2
0,015300	-7,548182E-2
0,015350	-8,172150E-2
0,015400	-6,716224E-2
0,015450	-7,340192E-2
0,015500	-6,924213E-2
0,015550	-6,924213E-2
0,015600	-5,884266E-2
0,015650	-6,092255E-2
0,015700	-6,508234E-2
0,015750	-5,676277E-2
0,015800	-6,092255E-2
0,015850	-6,924213E-2
0,015900	-6,092255E-2
0,015950	-5,260298E-2
0,016000	-6,092255E-2
0,016050	-4,220350E-2
0,016100	-6,716224E-2
0,016150	-5,052308E-2
0,016200	-5,468287E-2
0,016250	-3,596382E-2
0,016300	-6,092255E-2
0,016350	-5,676277E-2
0,016400	-5,676277E-2
0,016450	-4,012361E-2
0,016500	-3,804371E-2
0,016550	-5,468287E-2
0,016600	-4,012361E-2
0,016650	-5,260298E-2
0,016700	-3,596382E-2
0,016750	-6,300245E-2
0,016800	-4,844319E-2
0,016850	-3,180403E-2
0,016900	-2,972413E-2
0,016950	-4,636329E-2
0,017000	-3,180403E-2
0,017050	-6,092255E-2
0,017100	-3,596382E-2
0,017150	-4,844319E-2
0,017200	-2,972413E-2
0,017250	-5,260298E-2
0,017300	-4,636329E-2
0,017350	-2,972413E-2
0,017400	-3,180403E-2
0,017450	-3,804371E-2
0,017500	-3,804371E-2
0,017550	-3,180403E-2
0,017600	-5,260298E-2
0,017650	-2,556434E-2
0,017700	-4,636329E-2
0,017750	-3,388392E-2
0,017800	-3,596382E-2
0,017850	-3,596382E-2
0,017900	-5,052308E-2
0,017950	-2,972413E-2
0,018000	-4,220350E-2
0,018050	-2,348445E-2
0,018100	-6,300245E-2
0,018150	-4,636329E-2
0,018200	-3,596382E-2
0,018250	-3,388392E-2
0,018300	-3,180403E-2
0,018350	-4,636329E-2
0,018400	-2,764424E-2
0,018450	-3,804371E-2
0,018500	-3,388392E-2
0,018550	-4,012361E-2
0,018600	-4,428340E-2
0,018650	-3,596382E-2
0,018700	-5,260298E-2
0,018750	-5,260298E-2
0,018800	-3,388392E-2
0,018850	-5,260298E-2
0,018900	-1,932466E-2
0,018950	-4,428340E-2
0,019000	-4,636329E-2
0,019050	-5,052308E-2
0,019100	-5,260298E-2
0,019150	-5,260298E-2
0,019200	-4,844319E-2
0,019250	-6,508234E-2
0,019300	-4,844319E-2
0,019350	-5,676277E-2
0,019400	-6,092255E-2
0,019450	-4,220350E-2
0,019500	-6,716224E-2
0,019550	-5,676277E-2
0,019600	-6,716224E-2
0,019650	-5,468287E-2
0,019700	-6,924213E-2
0,019750	-5,676277E-2
0,019800	-7,132203E-2
0,019850	-6,924213E-2
0,019900	-7,132203E-2
0,019950	-7,964161E-2
0,020000	-7,964161E-2
0,020050	-7,756171E-2
0,020100	-7,756171E-2
0,020150	-7,964161E-2
0,020200	-7,964161E-2
0,020250	-8,588129E-2
0,020300	-8,172150E-2
0,020350	-9,628077E-2
0,020400	-9,420087E-2
0,020450	-1,025204E-1
0,020500	-9,004108E-2
0,020550	-1,046003E-1
0,020600	-9,628077E-2
0,020650	-1,046003E-1
0,020700	-1,066802E-1
0,020750	-1,046003E-1
0,020800	-1,087601E-1
0,020850	-1,129199E-1
0,020900	-1,108400E-1
0,020950	-1,129199E-1
0,021000	-1,253993E-1
0,021050	-1,149998E-1
0,021100	-1,233194E-1
0,021150	-1,191596E-1
0,021200	-1,274792E-1
0,021250	-1,191596E-1
0,021300	-1,357988E-1
0,021350	-1,295591E-1
0,021400	-1,399586E-1
0,021450	-1,399586E-1
0,021500	-1,399586E-1
0,021550	-1,503580E-1
0,021600	-1,482781E-1
0,021650	-1,524379E-1
0,021700	-1,545178E-1
0,021750	-1,565977E-1
0,021800	-1,545178E-1
0,021850	-1,711570E-1
0,021900	-1,649173E-1
0,021950	-1,753168E-1
0,022000	-1,649173E-1
0,022050	-1,836363E-1
0,022100	-1,711570E-1
0,022150	-1,857162E-1
0,022200	-1,794766E-1
0,022250	-1,815565E-1
0,022300	-1,877961E-1
0,022350	-1,877961E-1
0,022400	-1,898760E-1
0,022450	-1,940358E-1
0,022500	-1,940358E-1
0,022550	-1,961157E-1
0,022600	-2,023554E-1
0,022650	-2,023554E-1
0,022700	-2,106750E-1
0,022750	-2,044353E-1
0,022800	-2,169147E-1
0,022850	-2,127549E-1
0,022900	-2,273141E-1
0,022950	-2,127549E-1
0,023000	-2,231543E-1
0,023050	-2,189946E-1
0,023100	-2,293940E-1
0,023150	-2,273141E-1
0,023200	-2,335538E-1
0,023250	-2,314739E-1
0,023300	-2,356337E-1
0,023350	-2,377136E-1
0,023400	-2,397935E-1
0,023450	-2,501930E-1
0,023500	-2,377136E-1
0,023550	-2,543528E-1
0,023600	-2,460332E-1
0,023650	-2,605925E-1
0,023700	-2,501930E-1
0,023750	-2,626723E-1
0,023800	-2,564327E-1
0,023850	-2,668321E-1
0,023900	-2,626723E-1
0,023950	-2,668321E-1
0,024000	-2,647522E-1
0,024050	-2,689120E-1
0,024100	-2,751517E-1
0,024150	-2,751517E-1
0,024200	-2,793115E-1
0,024250	-2,813914E-1
0,024300	-2,793115E-1
0,024350	-2,793115E-1
0,024400	-2,959507E-1
0,024450	-2,793115E-1
0,024500	-2,897110E-1
0,024550	-2,917909E-1
0,024600	-3,063501E-1
0,024650	-2,938708E-1
0,024700	-3,063501E-1
0,024750	-2,938708E-1
0,024800	-3,021903E-1
0,024850	-3,105099E-1
