date/time: ,12/06/2018,05:08 p.m.
Run 1

time	(MT)
0,000000	-2,855512E-1
0,000050	-2,793115E-1
0,000100	-2,730718E-1
0,000150	-2,751517E-1
0,000200	-2,751517E-1
0,000250	-2,647522E-1
0,000300	-2,730718E-1
0,000350	-2,668321E-1
0,000400	-2,730718E-1
0,000450	-2,564327E-1
0,000500	-2,605925E-1
0,000550	-2,564327E-1
0,000600	-2,543528E-1
0,000650	-2,564327E-1
0,000700	-2,564327E-1
0,000750	-2,543528E-1
0,000800	-2,501930E-1
0,000850	-2,522729E-1
0,000900	-2,418734E-1
0,000950	-2,501930E-1
0,001000	-2,356337E-1
0,001050	-2,439533E-1
0,001100	-2,335538E-1
0,001150	-2,418734E-1
0,001200	-2,377136E-1
0,001250	-2,314739E-1
0,001300	-2,293940E-1
0,001350	-2,314739E-1
0,001400	-2,273141E-1
0,001450	-2,231543E-1
0,001500	-2,314739E-1
0,001550	-2,127549E-1
0,001600	-2,231543E-1
0,001650	-2,106750E-1
0,001700	-2,169147E-1
0,001750	-2,106750E-1
0,001800	-2,106750E-1
0,001850	-2,065152E-1
0,001900	-2,085951E-1
0,001950	-2,002755E-1
0,002000	-2,044353E-1
0,002050	-2,002755E-1
0,002100	-1,961157E-1
0,002150	-1,940358E-1
0,002200	-1,919559E-1
0,002250	-1,961157E-1
0,002300	-1,794766E-1
0,002350	-1,961157E-1
0,002400	-1,836363E-1
0,002450	-1,877961E-1
0,002500	-1,836363E-1
0,002550	-1,857162E-1
0,002600	-1,836363E-1
0,002650	-1,773967E-1
0,002700	-1,794766E-1
0,002750	-1,732369E-1
0,002800	-1,753168E-1
0,002850	-1,711570E-1
0,002900	-1,732369E-1
0,002950	-1,669972E-1
0,003000	-1,711570E-1
0,003050	-1,607575E-1
0,003100	-1,690771E-1
0,003150	-1,607575E-1
0,003200	-1,565977E-1
0,003250	-1,628374E-1
0,003300	-1,586776E-1
0,003350	-1,545178E-1
0,003400	-1,586776E-1
0,003450	-1,524379E-1
0,003500	-1,461982E-1
0,003550	-1,545178E-1
0,003600	-1,420385E-1
0,003650	-1,503580E-1
0,003700	-1,399586E-1
0,003750	-1,461982E-1
0,003800	-1,378787E-1
0,003850	-1,441183E-1
0,003900	-1,357988E-1
0,003950	-1,357988E-1
0,004000	-1,295591E-1
0,004050	-1,357988E-1
0,004100	-1,253993E-1
0,004150	-1,357988E-1
0,004200	-1,337189E-1
0,004250	-1,212395E-1
0,004300	-1,357988E-1
0,004350	-1,170797E-1
0,004400	-1,253993E-1
0,004450	-1,191596E-1
0,004500	-1,191596E-1
0,004550	-1,233194E-1
0,004600	-1,295591E-1
0,004650	-1,129199E-1
0,004700	-1,191596E-1
0,004750	-1,129199E-1
0,004800	-1,108400E-1
0,004850	-1,191596E-1
0,004900	-1,046003E-1
0,004950	-1,087601E-1
0,005000	-9,420087E-2
0,005050	-1,046003E-1
0,005100	-9,420087E-2
0,005150	-1,025204E-1
0,005200	-1,066802E-1
0,005250	-9,420087E-2
0,005300	-9,420087E-2
0,005350	-1,046003E-1
0,005400	-1,129199E-1
0,005450	-9,420087E-2
0,005500	-1,004406E-1
0,005550	-7,964161E-2
0,005600	-9,628077E-2
0,005650	-9,420087E-2
0,005700	-9,212098E-2
0,005750	-8,380140E-2
0,005800	-9,004108E-2
0,005850	-7,964161E-2
0,005900	-9,212098E-2
0,005950	-1,025204E-1
0,006000	-9,420087E-2
0,006050	-8,380140E-2
0,006100	-8,796119E-2
0,006150	-8,380140E-2
0,006200	-9,004108E-2
0,006250	-9,420087E-2
0,006300	-7,548182E-2
0,006350	-9,004108E-2
0,006400	-9,212098E-2
0,006450	-9,628077E-2
0,006500	-6,924213E-2
0,006550	-7,964161E-2
0,006600	-7,964161E-2
0,006650	-9,004108E-2
0,006700	-8,588129E-2
0,006750	-8,588129E-2
0,006800	-9,212098E-2
0,006850	-7,548182E-2
0,006900	-8,796119E-2
0,006950	-6,508234E-2
0,007000	-7,964161E-2
0,007050	-7,132203E-2
0,007100	-9,628077E-2
0,007150	-6,716224E-2
0,007200	-9,628077E-2
0,007250	-8,796119E-2
0,007300	-9,212098E-2
0,007350	-7,132203E-2
0,007400	-7,964161E-2
0,007450	-7,756171E-2
0,007500	-8,172150E-2
0,007550	-8,796119E-2
0,007600	-6,924213E-2
0,007650	-8,588129E-2
0,007700	-7,132203E-2
0,007750	-1,004406E-1
0,007800	-9,212098E-2
0,007850	-8,588129E-2
0,007900	-9,420087E-2
0,007950	-8,380140E-2
0,008000	-8,588129E-2
0,008050	-8,380140E-2
0,008100	-7,548182E-2
0,008150	-7,756171E-2
0,008200	-8,380140E-2
