date/time: ,12/06/2018,05:02 p.m.
Run 1

time	(MT)
0,000000	5,856378E+0
0,000050	5,856378E+0
0,000100	5,870937E+0
0,000150	5,850138E+0
0,000200	5,862618E+0
0,000250	5,868857E+0
0,000300	5,875097E+0
0,000350	5,854298E+0
0,000400	5,866778E+0
0,000450	5,866778E+0
0,000500	5,881337E+0
0,000550	5,885497E+0
0,000600	5,873017E+0
0,000650	5,887576E+0
0,000700	5,870937E+0
0,000750	5,895896E+0
0,000800	5,873017E+0
0,000850	5,875097E+0
0,000900	5,868857E+0
0,000950	5,854298E+0
0,001000	5,833499E+0
0,001050	5,831419E+0
0,001100	5,791901E+0
0,001150	5,758623E+0
0,001200	5,721185E+0
0,001250	5,683747E+0
0,001300	5,637989E+0
0,001350	5,585992E+0
0,001400	5,531914E+0
0,001450	5,477837E+0
0,001500	5,409201E+0
0,001550	5,346804E+0
0,001600	5,274008E+0
0,001650	5,188732E+0
0,001700	5,130495E+0
0,001750	5,053539E+0
0,001800	4,989062E+0
0,001850	4,907946E+0
0,001900	4,841389E+0
0,001950	4,764433E+0
0,002000	4,704116E+0
0,002050	4,627160E+0
0,002100	4,564763E+0
0,002150	4,489887E+0
0,002200	4,431650E+0
0,002250	4,369253E+0
0,002300	4,311016E+0
0,002350	4,240300E+0
0,002400	4,179983E+0
0,002450	4,115506E+0
0,002500	4,046870E+0
0,002550	3,990712E+0
0,002600	3,930396E+0
0,002650	3,857599E+0
0,002700	3,786883E+0
0,002750	3,720326E+0
0,002800	3,641290E+0
0,002850	3,576813E+0
0,002900	3,481138E+0
0,002950	3,412502E+0
0,003000	3,316827E+0
0,003050	3,244030E+0
0,003100	3,146275E+0
0,003150	3,063079E+0
0,003200	2,959085E+0
0,003250	2,871729E+0
0,003300	2,773974E+0
0,003350	2,680379E+0
0,003400	2,580544E+0
0,003450	2,482789E+0
0,003500	2,378794E+0
0,003550	2,274799E+0
0,003600	2,177044E+0
0,003650	2,073049E+0
0,003700	1,966975E+0
0,003750	1,856740E+0
0,003800	1,765225E+0
0,003850	1,659150E+0
0,003900	1,567635E+0
0,003950	1,449081E+0
0,004000	1,355486E+0
0,004050	1,245251E+0
0,004100	1,157896E+0
0,004150	1,047661E+0
0,004200	9,436666E-1
0,004250	8,500714E-1
0,004300	7,460766E-1
0,004350	6,420819E-1
0,004400	5,443268E-1
0,004450	4,465718E-1
0,004500	3,384172E-1
0,004550	2,385823E-1
0,004600	1,304278E-1
0,004650	5,347166E-2
0,004700	-5,676277E-2
0,004750	-1,420385E-1
0,004800	-2,439533E-1
0,004850	-3,209094E-1
0,004900	-4,186645E-1
0,004950	-5,018602E-1
0,005000	-5,996153E-1
0,005050	-6,869709E-1
0,005100	-7,868058E-1
0,005150	-8,762413E-1
0,005200	-9,677567E-1
0,005250	-1,057192E+0
0,005300	-1,142468E+0
0,005350	-1,229823E+0
0,005400	-1,323419E+0
0,005450	-1,408694E+0
0,005500	-1,500210E+0
0,005550	-1,593805E+0
0,005600	-1,683240E+0
0,005650	-1,774756E+0
0,005700	-1,853792E+0
0,005750	-1,949467E+0
0,005800	-2,032663E+0
0,005850	-2,124178E+0
0,005900	-2,209454E+0
0,005950	-2,300969E+0
0,006000	-2,390405E+0
0,006050	-2,481920E+0
0,006100	-2,565116E+0
0,006150	-2,654551E+0
0,006200	-2,741907E+0
0,006250	-2,829262E+0
0,006300	-2,904139E+0
0,006350	-2,989414E+0
0,006400	-3,078850E+0
0,006450	-3,157886E+0
0,006500	-3,249401E+0
0,006550	-3,320118E+0
0,006600	-3,413713E+0
0,006650	-3,480270E+0
0,006700	-3,573865E+0
0,006750	-3,646661E+0
0,006800	-3,729857E+0
0,006850	-3,804733E+0
0,006900	-3,898328E+0
0,006950	-3,971125E+0
0,007000	-4,046001E+0
0,007050	-4,127117E+0
0,007100	-4,212393E+0
0,007150	-4,285189E+0
0,007200	-4,357985E+0
0,007250	-4,439101E+0
0,007300	-4,509817E+0
0,007350	-4,582614E+0
0,007400	-4,653330E+0
0,007450	-4,738606E+0
0,007500	-4,782284E+0
0,007550	-4,869639E+0
0,007600	-4,923717E+0
0,007650	-4,988193E+0
0,007700	-5,046430E+0
0,007750	-5,115067E+0
0,007800	-5,154585E+0
0,007850	-5,212822E+0
0,007900	-5,264819E+0
0,007950	-5,329296E+0
0,008000	-5,383373E+0
0,008050	-5,412492E+0
0,008100	-5,479048E+0
0,008150	-5,514407E+0
0,008200	-5,570564E+0
0,008250	-5,612162E+0
0,008300	-5,655839E+0
0,008350	-5,701597E+0
0,008400	-5,743195E+0
0,008450	-5,763994E+0
0,008500	-5,795192E+0
0,008550	-5,820151E+0
0,008600	-5,857589E+0
0,008650	-5,890868E+0
0,008700	-5,913746E+0
0,008750	-5,936625E+0
0,008800	-5,947025E+0
0,008850	-5,980303E+0
0,008900	-5,992782E+0
0,008950	-6,015661E+0
0,009000	-6,036460E+0
0,009050	-6,036460E+0
0,009100	-6,051019E+0
0,009150	-6,067659E+0
0,009200	-6,078058E+0
0,009250	-6,086378E+0
0,009300	-6,088458E+0
0,009350	-6,109257E+0
0,009400	-6,123816E+0
0,009450	-6,127976E+0
0,009500	-6,127976E+0
0,009550	-6,142535E+0
0,009600	-6,157094E+0
0,009650	-6,155014E+0
0,009700	-6,140455E+0
0,009750	-6,177893E+0
0,009800	-6,173733E+0
0,009850	-6,192452E+0
0,009900	-6,173733E+0
0,009950	-6,175813E+0
0,010000	-6,207012E+0
0,010050	-6,200772E+0
0,010100	-6,209091E+0
0,010150	-6,192452E+0
0,010200	-6,213251E+0
0,010250	-6,215331E+0
0,010300	-6,227811E+0
0,010350	-6,223651E+0
0,010400	-6,227811E+0
0,010450	-6,223651E+0
0,010500	-6,213251E+0
0,010550	-6,217411E+0
0,010600	-6,240290E+0
0,010650	-6,223651E+0
0,010700	-6,238210E+0
0,010750	-6,209091E+0
0,010800	-6,242370E+0
0,010850	-6,223651E+0
0,010900	-6,213251E+0
0,010950	-6,207012E+0
0,011000	-6,188293E+0
0,011050	-6,169573E+0
0,011100	-6,155014E+0
0,011150	-6,119656E+0
0,011200	-6,065579E+0
0,011250	-6,040620E+0
0,011300	-5,992782E+0
0,011350	-5,955344E+0
0,011400	-5,892947E+0
0,011450	-5,845110E+0
0,011500	-5,770234E+0
0,011550	-5,720316E+0
0,011600	-5,643360E+0
0,011650	-5,593443E+0
0,011700	-5,510247E+0
0,011750	-5,439530E+0
0,011800	-5,368814E+0
0,011850	-5,296018E+0
0,011900	-5,216982E+0
0,011950	-5,142105E+0
0,012000	-5,075549E+0
0,012050	-5,011072E+0
0,012100	-4,946595E+0
0,012150	-4,873799E+0
0,012200	-4,813482E+0
